replay_id,turn,rating,p1_total_hp,p2_total_hp,hp_difference,p1_fainted,p2_fainted,fainted_difference,has_weather,has_terrain,has_trick_room,p1_active_count,p2_active_count,p1_win
gen9vgc2025regj-2483648372,1,1297,1.74,1.11,0.31499999999999995,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483648372,3,1297,2.0300000000000002,2.0,0.015000000000000124,1,1,0,1,0,0,2,2,0
gen9vgc2025regj-2483648372,5,1297,2.93,1.45,0.7400000000000001,3,1,-2,1,0,0,2,2,0
gen9vgc2025regj-2483648372,7,1297,2.0,1.75,0.125,4,2,-2,1,0,0,2,2,0
gen9vgc2025regj-2483648045,1,1362,1.37,2.0,-0.31499999999999995,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483648045,3,1362,2.06,2.0,0.030000000000000027,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483648045,5,1362,2.0,3.0,-0.5,2,2,0,1,1,0,2,2,0
gen9vgc2025regj-2483648045,7,1362,1.45,2.0,-0.275,2,4,2,1,1,0,2,1,1
gen9vgc2025regj-2483647266,1,1168,2.76,3.0,-0.1200000000000001,0,1,1,1,0,0,2,2,0
gen9vgc2025regj-2483647266,3,1168,1.18,1.0,0.08999999999999997,1,3,2,1,0,0,2,1,1
gen9vgc2025regj-2483612693,1,1432,1.8399999999999999,1.62,0.10999999999999988,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483612693,3,1432,1.6800000000000002,1.52,0.08000000000000007,1,1,0,0,1,0,2,2,0
gen9vgc2025regj-2483612693,5,1432,1.6800000000000002,1.37,0.15500000000000003,2,1,-1,0,1,0,1,2,0
gen9vgc2025regj-2483612693,7,1432,1.3,1.0,0.15000000000000002,3,3,0,0,1,0,1,1,0
gen9vgc2025regj-2483611764,1,1216,2.0,2.93,-0.4650000000000001,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483611764,3,1216,4.78,1.0,1.8900000000000001,0,2,2,0,0,1,2,1,1
gen9vgc2025regj-2483611732,1,1066,1.46,2.88,-0.71,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483611732,3,1066,0.9200000000000002,2.41,-0.745,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483611732,5,1066,1.76,2.88,-0.5599999999999999,1,1,0,0,0,0,2,2,0
gen9vgc2025regj-2483611732,7,1066,1.87,2.69,-0.4099999999999999,3,1,-2,0,0,0,2,2,0
gen9vgc2025regj-2483611635,1,1123,4.0,1.9100000000000001,1.045,2,1,-1,1,0,0,2,2,0
gen9vgc2025regj-2483611635,3,1123,4.0,1.01,1.495,4,2,-2,1,0,0,2,2,0
gen9vgc2025regj-2483610625,1,1273,2.0,2.0,0.0,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483610625,3,1273,2.63,3.6799999999999997,-0.5249999999999999,0,0,0,0,0,0,2,2,0
gen9vgc2025regj-2483610625,5,1273,3.58,3.42,0.08000000000000007,0,0,0,0,0,1,2,2,0
gen9vgc2025regj-2483610072,1,1593,2.0,2.93,-0.4650000000000001,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483610072,3,1593,3.59,3.04,0.2749999999999999,0,0,0,1,0,1,2,2,0
gen9vgc2025regj-2483610072,5,1593,3.05,2.02,0.5149999999999999,0,2,2,0,0,0,2,2,0
gen9vgc2025regj-2483610072,7,1593,2.42,2.02,0.19999999999999996,2,3,1,0,1,0,2,2,0
gen9vgc2025regj-2483609908,1,1241,2.0,2.0,0.0,0,0,0,1,0,0,2,2,0
gen9vgc2025regj-2483609908,3,1241,4.0,1.5,1.25,2,0,-2,1,1,0,2,2,0
gen9vgc2025regj-2483609908,5,1241,4.0,1.88,1.06,2,0,-2,0,1,0,2,2,0
gen9vgc2025regj-2483609908,7,1241,4.99,2.22,1.385,2,2,0,0,1,0,2,2,0
gen9vgc2025regj-2483609463,1,1323,1.99,2.0,-0.0050000000000000044,0,0,0,0,1,0,2,2,0
gen9vgc2025regj-2483609463,3,1323,1.04,2.0,-0.48,0,2,2,0,1,0,2,2,0
gen9vgc2025regj-2483609463,5,1323,2.63,2.0,0.31499999999999995,2,2,0,0,1,0,2,2,0
gen9vgc2025regj-2483609463,7,1323,3.0300000000000002,1.0,1.0150000000000001,2,4,2,0,1,0,2,1,1
gen9vgc2025regj-2483609660,1,1278,2.25,1.52,0.365,0,1,1,0,1,0,2,2,0
gen9vgc2025regj-2483609660,3,1278,2.79,1.15,0.8200000000000001,0,1,1,1,1,0,2,2,0
gen9vgc2025regj-2483609660,5,1278,2.16,2.29,-0.06499999999999995,1,1,0,1,1,0,2,2,0
